source_name,author,title,description,url,published_at,content,cleaned_description,sentiment
Wired,Grace Browne,The Multiple Ways Climate Change Threatens to Make Migraines Worse,"Migraine sufferers are often triggered by the weather, and research suggests warming temperatures and more extreme weather events worsen attacks.",https://www.wired.com/story/climate-change-could-make-migraines-worse/,2024-09-20T09:00:00Z,"Migraines have long had an intimate relationship with the elements. Alongside stress and hormones, fluctuations in meteorological conditions are one of the most commonly cited triggers for an attack.… [+3310 chars]","migraine sufferers are often triggered by the weather, and research suggests warming temperatures and more extreme weather events worsen attacks.",Negative
Wired,Dennis Mersereau,Why Super Typhoons Like Yagi Are More Common Than You’d Think,"Unlike in the Atlantic, there is little to stop high-intensity storms forming in Southeast Asia, and climate change is making conditions even more perilous.",https://www.wired.com/story/why-super-typhoons-like-yagi-are-more-common-than-youd-think/,2024-09-05T21:32:54Z,"The years first super typhoon erupted over the steamy waters of the western Pacific Ocean on Thursday as Yagi churned toward an eventual landfall in southern China.
Having formed as a tropical cyclo… [+1743 chars]","unlike in the atlantic, there is little to stop high-intensity storms forming in southeast asia, and climate change is making conditions even more perilous.",Negative
Wired,Chris Baraniuk,The Cost of Lightning,"Exactly how climate change will impact lightning isn’t clear, but governments, public bodies, and the military are prepping for stormier weather.",https://www.wired.com/story/lightning-protection-damage-climate-change-extreme-weather/,2024-09-11T11:30:00Z,It was the terrible prospect of lightning one day striking the historic windmill that troubled Andrew Farrell. A bolt five times hotter than the surface of the sun instantly turning moisture in one o… [+3260 chars],"exactly how climate change will impact lightning isn’t clear, but governments, public bodies, and the military are prepping for stormier weather.",Neutral
Wired,Will Knight,The United Nations Wants to Treat AI With the Same Urgency as Climate Change,A UN report proposes that the organization take a much more active role in the monitoring and oversight of AI.,https://www.wired.com/story/united-nations-artificial-intelligence-report/,2024-09-19T05:00:00Z,"A United Nations report released today proposes having the international body oversee the first truly global effort for monitoring and governing artificial intelligence.
The report, produced by the … [+3067 chars]",a un report proposes that the organization take a much more active role in the monitoring and oversight of ai.,Positive
BBC News,NA,Europe’s deadly floods are glimpse of future climate,A new study shows that the record-breaking rainfall was made more likely and intense by climate change.,https://www.bbc.com/news/articles/cn5zx2zx5xvo,2024-09-25T03:06:20Z,"Local residents rescue a woman from rising flood waters in the Romanian village of Slobozia Conachi
Central Europe's devastating floods were made much worse by climate change and offer a stark glimp… [+5380 chars]",a new study shows that the record-breaking rainfall was made more likely and intense by climate change.,Positive
BBC News,NA,Somalia: From Crisis to Renewal,"Climate change in Somalia is acting as a kind of 'chaos multiplier', making existing conflicts even more acute. So how is the country rising to the challenge?",https://www.bbc.co.uk/iplayer/episode/m0023bvd/somalia-from-crisis-to-renewal,2024-09-17T23:01:00Z,"Climate change in Somalia is acting as a kind of 'chaos multiplier', making existing conflicts even more acute. So how is the country rising to the challenge? More","climate change in somalia is acting as a kind of 'chaos multiplier', making existing conflicts even more acute. so how is the country rising to the challenge?",Neutral
Gizmodo.com,Rose Pastore,Kamala Harris’s Patriotic Spin on Climate Action,A study suggests that framing the issue in terms of American values holds promise.,https://gizmodo.com/kamala-harriss-patriotic-spin-on-climate-action-2000498462,2024-09-13T13:45:56Z,"This story was originally published by Grist. Sign up for Grist’s weekly newsletter here.
Freedom is often a Republican talking point, but Vice President Kamala Harris is trying to reclaim the conce… [+5869 chars]",a study suggests that framing the issue in terms of american values holds promise.,Neutral
Ars Technica,Howard Lee,How did volcanism trigger climate change before the eruptions started?,New dating of a major ancient warming shows warming started before major eruptions.,https://arstechnica.com/science/2024/09/how-did-volcanism-trigger-climate-change-before-the-eruptions-started/,2024-09-08T11:00:53Z,"Enlarge/ Loads of lava: Kasbohm with a few solidified lava flows of the Columbia River Basalts.
3
As our climate warms beyond its historical range, scientists increasingly need to study climates de… [+4030 chars]",new dating of a major ancient warming shows warming started before major eruptions.,Neutral
Wired,Richard Schiffman,Breadfruit Is Here to Save the World,"This calorie-rich, nutrient-dense, and climate-resilient crop has the power to step in for more common staples that can’t handle global warming.",https://www.wired.com/story/breadfruit-caribbean-pacific-climate-change-super-food/,2024-09-11T11:00:00Z,"Warming temperatures are making farming much more difficult in the tropics. Food systems across island nations in the Caribbean and Pacific are particularly vulnerable, being hit hard by a combinatio… [+3131 chars]","this calorie-rich, nutrient-dense, and climate-resilient crop has the power to step in for more common staples that can’t handle global warming.",Neutral
The Verge,Justine Calma,Summer 2024 is already the hottest on record,"Heat has been record-breaking this summer, and it’s not over yet.",https://www.theverge.com/2024/9/6/24237451/summer-2024-is-already-the-hottest-on-record,2024-09-06T15:38:38Z,"Spectators and cyclists during a heatwave coinciding with the Paris Olympics on August 4th, 2024. | Photo by Magali Cohen / Hans Lucas / AFP via Getty Images

 

 The Northern Hemisphere just experi… [+2862 chars]","heat has been record-breaking this summer, and it’s not over yet.",Neutral
InsideClimate News,Inside Climate News,Droughts likely to be even longer in the future due to climate change,Major climate reports may be underselling the risks of rising emissions.,https://insideclimatenews.org/news/18092024/major-climate-reports-may-be-underestimating-drought-flood-risks/,2024-09-19T13:56:02Z,"32
Droughts in the coming decades could be longer than projected by current climate models, a new study published Wednesday in Nature warns.
The international team of scientists examined potential … [+3356 chars]",major climate reports may be underselling the risks of rising emissions.,Negative
NPR,The NPR Network,Hungry for new podcasts? Here are 8 episodes about how climate change affects our food,"Add these episodes to your listening rotation during the NPR Network's Climate Solutions Week, where we're dedicated to stories and conversations about the search for climate solutions.",https://www.npr.org/2024/09/09/g-s1-20267/best-podcasts-food-climate,2024-09-09T18:00:00Z,"Climate change is affecting our food, and our food is affecting the climate. NPR is dedicating a week to stories and conversations about the search for solutions.
Looking for solutions to our food n… [+3893 chars]","add these episodes to your listening rotation during the npr network's climate solutions week, where we're dedicated to stories and conversations about the search for climate solutions.",Positive
